地级市,年份,累计日照时数(小时)
烟台市,2017,266.61
烟台市,2018,340.09
烟台市,2019,280.06
烟台市,2020,366.3
聊城市,1960,284.91
聊城市,1961,352.28
聊城市,1962,305.16
聊城市,1963,313.14
聊城市,1964,315.4
聊城市,1965,371.34
聊城市,1966,389.42
聊城市,1967,352.62
聊城市,1968,423.08
聊城市,1969,361.14
聊城市,1970,330.46
聊城市,1971,357.41
聊城市,1972,365.56
聊城市,1973,359.22
聊城市,1974,322.95
聊城市,1975,355.81
聊城市,1976,297.04
聊城市,1977,311.47
聊城市,1978,349.92
聊城市,1979,348.57
聊城市,1980,376.91
聊城市,1981,320.12
聊城市,1982,301.05
聊城市,1983,323.03
聊城市,1984,297.27
聊城市,1985,356.89
聊城市,1986,370.57
聊城市,1987,346.4
聊城市,1988,258.33
聊城市,1989,301.32
聊城市,1990,304.82
聊城市,1991,326.33
聊城市,1992,301.78
聊城市,1993,227.76
聊城市,1994,329.11
聊城市,1995,232.49
聊城市,1996,229.96
聊城市,1997,389.44
聊城市,1998,277.76
聊城市,1999,317.03
聊城市,2000,300.25
聊城市,2001,329.94
聊城市,2002,361.96
聊城市,2003,248.92
聊城市,2004,247.38
聊城市,2005,255.23
聊城市,2006,221.84
聊城市,2007,241.81
聊城市,2008,233.86
聊城市,2009,259.56
聊城市,2010,267.22
聊城市,2011,243.11
聊城市,2012,227.21
聊城市,2013,303.08
聊城市,2014,308.79
聊城市,2015,236.69
聊城市,2016,192.71
聊城市,2017,274.69
聊城市,2018,287.65
聊城市,2019,278.81
聊城市,2020,273.96
菏泽市,1960,326.0
菏泽市,1961,362.78
菏泽市,1962,325.19
菏泽市,1963,292.61
菏泽市,1964,371.48
菏泽市,1965,316.18
菏泽市,1966,435.29
菏泽市,1967,386.1
菏泽市,1968,406.55
菏泽市,1969,384.55
菏泽市,1970,343.11
菏泽市,1971,399.79
菏泽市,1972,374.81
菏泽市,1973,382.56
菏泽市,1974,358.73
菏泽市,1975,343.81
菏泽市,1976,360.42
菏泽市,1977,319.45
菏泽市,1978,341.89
菏泽市,1979,359.19
菏泽市,1980,346.72
菏泽市,1981,289.08
菏泽市,1982,247.81
菏泽市,1983,308.36
菏泽市,1984,291.01
菏泽市,1985,346.08
菏泽市,1986,341.76
菏泽市,1987,317.94
菏泽市,1988,309.71
菏泽市,1989,254.17
菏泽市,1990,303.81
菏泽市,1991,292.86
菏泽市,1992,292.72
菏泽市,1993,205.51
菏泽市,1994,340.73
菏泽市,1995,243.94
菏泽市,1996,256.7
菏泽市,1997,377.75
菏泽市,1998,266.22
菏泽市,1999,339.22
菏泽市,2000,275.34
菏泽市,2001,288.25
菏泽市,2002,326.28
菏泽市,2003,209.8
菏泽市,2004,250.08
菏泽市,2005,242.48
菏泽市,2006,212.63
菏泽市,2007,224.46
菏泽市,2008,189.17
菏泽市,2009,241.85
菏泽市,2010,304.91
菏泽市,2011,239.81
菏泽市,2012,261.63
菏泽市,2013,353.77
菏泽市,2014,330.94
菏泽市,2015,281.34
菏泽市,2016,246.73
菏泽市,2017,319.65
菏泽市,2018,319.71
菏泽市,2019,299.95
菏泽市,2020,335.41
青岛市,1960,281.63
青岛市,1961,287.94
青岛市,1962,280.64
青岛市,1963,293.93
青岛市,1964,350.8
青岛市,1965,269.53
青岛市,1966,337.9
青岛市,1967,312.28
青岛市,1968,337.65
青岛市,1969,298.42
青岛市,1970,277.4
青岛市,1971,333.53
青岛市,1972,336.62
青岛市,1973,346.45
青岛市,1974,250.34
青岛市,1975,257.89
青岛市,1976,260.8
青岛市,1977,299.47
青岛市,1978,341.06
青岛市,1979,351.43
青岛市,1980,376.38
青岛市,1981,382.14
青岛市,1982,336.26
青岛市,1983,384.16
青岛市,1984,307.45
青岛市,1985,319.05
青岛市,1986,323.47
青岛市,1987,319.24
青岛市,1988,343.98
青岛市,1989,303.42
青岛市,1990,316.35
青岛市,1991,348.97
青岛市,1992,379.26
青岛市,1993,259.38
青岛市,1994,349.53
青岛市,1995,240.34
青岛市,1996,256.82
青岛市,1997,369.49
青岛市,1998,249.3
青岛市,1999,298.87
青岛市,2000,346.71
青岛市,2001,294.76
青岛市,2002,301.25
